trunkId,name,locationId,locationName,trunkType,deviceType,sipRegistrar,outboundProxy,port,status,inUse,routeGroupCount
Y2lzY29zcGFyazovL3VzL1RSVU5LLzkyYjI1YjgyLTg2MWUtNDA2MC1iNTY5LTViYzY0ZTkxM2Q4Mw,AFNMDW4431VZB_CUBE,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2EyMTZhOGRkLThiODMtNDliZi1hYWI1LWM3MTg1N2JhMDQ0MQ,CUBE_MDW_1,REGISTERING,,,,,online,,0
Y2lzY29zcGFyazovL3VzL1RSVU5LLzY0NjNiZjU4LWY0NDctNDhkMS05ZDExLTEzOTRkNWVjYTMwYQ,AFNOFCVCUBE1,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2I0YTA5YjZlLWI4ZTAtNDUxZC04NmIwLWYwYmFmMjczMzRhNA,CUBE_PHI_1,REGISTERING,,,,,online,,0
Y2lzY29zcGFyazovL3VzL1RSVU5LLzQ1M2I3MjM4LTFhOTgtNDY0OS1hNDFhLTU3MTY0N2I5YTJjZA,AFNPHX4431VZB_CUBE,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzZlZWQxZDc2LTU4YjAtNGM0Ny1iMmY2LTYyOTRiMWZjMjQzYg,CUBE_PHX_1,REGISTERING,,,,,online,,0
