locationId,locationName,country,addressLine1,city,state,zip,pstnType,provider,connectionStatus,connectionId,_error
Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2EyMTZhOGRkLThiODMtNDliZi1hYWI1LWM3MTg1N2JhMDQ0MQ,CUBE_MDW_1,US,"Chicago, IL, USA",Chicago,IL,,,,,Y2lzY29zcGFyazovL3VzL1BTVE5fQ09OTkVDVElPTi9mNzIxODM4MC1hNzkxLTQxNTItODE1Ni05ZTRjYzU5ZTc0Yzk,
Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2I0YTA5YjZlLWI4ZTAtNDUxZC04NmIwLWYwYmFmMjczMzRhNA,CUBE_PHI_1,PH,"46 Commonwealth Ave, Quezon City, 1127 Metro Manila, Philippines",Quezon City,PH-00,,,,,Y2lzY29zcGFyazovL3VzL1BTVE5fQ09OTkVDVElPTi9mNzIxODM4MC1hNzkxLTQxNTItODE1Ni05ZTRjYzU5ZTc0Yzk,
Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzZlZWQxZDc2LTU4YjAtNGM0Ny1iMmY2LTYyOTRiMWZjMjQzYg,CUBE_PHX_1,US,"Phoenix, AZ, USA",Phoenix,AZ,,,,,Y2lzY29zcGFyazovL3VzL1BTVE5fQ09OTkVDVElPTi9mNzIxODM4MC1hNzkxLTQxNTItODE1Ni05ZTRjYzU5ZTc0Yzk,
Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2QxZWYwNGNkLTEzMDgtNGIwYi04MWQ0LWExMjA2MWRmYjZmZA,MEX,MX,"Av Bernardo Reyes 1214, Bernardo Reyes",Monterrey,MX-MEX,,,,,Y2lzY29zcGFyazovL3VzL1BTVE5fQ09OTkVDVElPTi9mNzIxODM4MC1hNzkxLTQxNTItODE1Ni05ZTRjYzU5ZTc0Yzk,
Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRkMDcyODNhLTM4MjgtNGQzNC05MjA1LWUxZTNiNzZkYTRjYg,MOD- MEX,US,"1310 Martin Luther King Jr Dr, Bloomington, IL 61701, USA",Bloomington,IL,,,,,Y2lzY29zcGFyazovL3VzL1BTVE5fQ09OTkVDVElPTi9mNzIxODM4MC1hNzkxLTQxNTItODE1Ni05ZTRjYzU5ZTc0Yzk,
Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzdiMTFkOGNjLTlmYTEtNDQ3MC1iZDJhLTVmZmZjNGMwMjRlMg,MOD- PHI,PH,"One Felicity Center, Commonwealth Avenue",Quezon City,PH-00,,,,,Y2lzY29zcGFyazovL3VzL1BTVE5fQ09OTkVDVElPTi9mNzIxODM4MC1hNzkxLTQxNTItODE1Ni05ZTRjYzU5ZTc0Yzk,
Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzZkNDE4MzQzLWFkMzItNGI5ZC1hOGEyLWViY2Q3YTVjM2M3ZA,PHI,PH,"One Felicity Center, Commonwealth Avenue, Quezon City, Philippines",Quezon City,PH-00,,,,,Y2lzY29zcGFyazovL3VzL1BTVE5fQ09OTkVDVElPTi9mNzIxODM4MC1hNzkxLTQxNTItODE1Ni05ZTRjYzU5ZTc0Yzk,
Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2Y2OWU4NDg3LWVlNjktNGYyNy1iNGU2LWIyZjM4MTlmYjA3OA,USA,US,1310 Martin Luther King Jr Dr  Bloomington  IL 61701  USA,Bloomington,IL,,,,,Y2lzY29zcGFyazovL3VzL1BTVE5fQ09OTkVDVElPTi9mNzIxODM4MC1hNzkxLTQxNTItODE1Ni05ZTRjYzU5ZTc0Yzk,
