groupId,name,description,source,lastModified,memberCount,usage
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNWNjNTM1ZmYtZGRhZC00OGM3LWJkYjgtY2U2YzEzYmRkMGVlOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,IDAmin,This group is for members of the ID Team that create Users.,,2025-04-07T18:30:34.326Z,2,
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvMDM3MjYxN2ItMjE0ZS00M2M3LWI5NTItM2MzNzZiNTc1N2FhOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,SharedUserAccounts-WebexIdentity,,,2025-10-21T20:15:38.111Z,29,
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvM2Y2OWVlNmItNzQzMS00Y2Y0LTllOTktMmY3Mjg3MTZhZWM5OmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,Standard User,,,2025-10-24T16:00:13.933Z,4,
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvYTc3OGU3NTAtNmEwOC00Y2U4LThlMGEtNzI1OTNmYmFhOTJlOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,VoiceAdmin,,,2025-09-30T12:43:20.576Z,8,
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvODYzZDE4Y2QtYTMxNC00YzdmLWI3MWUtNmU1ZTg5NmU0OWRlOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,WxCCStdAgent,"Webex Contact Center Standard Agent
",,2025-11-04T09:17:02.707Z,52,
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvYTlmMDI0MDQtNTEwMS00ZTRmLTllM2MtNDlhNzNlNjM5ZTUzOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,WxCCStdSupervisor,,,2025-10-27T14:51:09.860Z,2,
