groupId,groupName,assignments
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNWNjNTM1ZmYtZGRhZC00OGM3LWJkYjgtY2U2YzEzYmRkMGVlOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,IDAmin,NOT EXPOSED BY PUBLIC API (use Control Hub UI)
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvMDM3MjYxN2ItMjE0ZS00M2M3LWI5NTItM2MzNzZiNTc1N2FhOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,SharedUserAccounts-WebexIdentity,NOT EXPOSED BY PUBLIC API (use Control Hub UI)
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvM2Y2OWVlNmItNzQzMS00Y2Y0LTllOTktMmY3Mjg3MTZhZWM5OmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,Standard User,NOT EXPOSED BY PUBLIC API (use Control Hub UI)
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvYTc3OGU3NTAtNmEwOC00Y2U4LThlMGEtNzI1OTNmYmFhOTJlOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,VoiceAdmin,NOT EXPOSED BY PUBLIC API (use Control Hub UI)
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvODYzZDE4Y2QtYTMxNC00YzdmLWI3MWUtNmU1ZTg5NmU0OWRlOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,WxCCStdAgent,NOT EXPOSED BY PUBLIC API (use Control Hub UI)
Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvYTlmMDI0MDQtNTEwMS00ZTRmLTllM2MtNDlhNzNlNjM5ZTUzOmViYzMxNjQ2LWJjMjYtNGEyMC04NTAwLWMzMDMwZWJkNmE1Mg,WxCCStdSupervisor,NOT EXPOSED BY PUBLIC API (use Control Hub UI)
