routeGroupId,routeGroupName,locationId,locationName,pstnType
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQL2FlOTIyOTUxLTFiNjYtNGI0Mi1iYTM3LTM2YTJiNWNjMzExZQ,Equal_MDW_PHX_rg,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRkMDcyODNhLTM4MjgtNGQzNC05MjA1LWUxZTNiNzZkYTRjYg,MOD- MEX,
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQL2UwNTYzM2E3LTE3YWEtNDA3OC1iNTIzLTM2YjhhM2RmMzRmOQ,MDW_Pref_rg,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2EyMTZhOGRkLThiODMtNDliZi1hYWI1LWM3MTg1N2JhMDQ0MQ,CUBE_MDW_1,
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQL2UwNTYzM2E3LTE3YWEtNDA3OC1iNTIzLTM2YjhhM2RmMzRmOQ,MDW_Pref_rg,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2Y2OWU4NDg3LWVlNjktNGYyNy1iNGU2LWIyZjM4MTlmYjA3OA,USA,
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQL2EzNzUzZDMyLTJhZjQtNGMzMC05ZDJhLWNjNGUyNWZiNmJjNA,PHI_rg,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzdiMTFkOGNjLTlmYTEtNDQ3MC1iZDJhLTVmZmZjNGMwMjRlMg,MOD- PHI,
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQL2EzNzUzZDMyLTJhZjQtNGMzMC05ZDJhLWNjNGUyNWZiNmJjNA,PHI_rg,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzZkNDE4MzQzLWFkMzItNGI5ZC1hOGEyLWViY2Q3YTVjM2M3ZA,PHI,
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQLzc1YTE2MTUxLWU5YjYtNDY5Zi1iOGYxLTZjYjU1MzIyOTM4Yw,PHX_Pref_rg,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzZlZWQxZDc2LTU4YjAtNGM0Ny1iMmY2LTYyOTRiMWZjMjQzYg,CUBE_PHX_1,
