routeGroupId,name,inUse,localGatewayCount,localGateways
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQL2FlOTIyOTUxLTFiNjYtNGI0Mi1iYTM3LTM2YTJiNWNjMzExZQ,Equal_MDW_PHX_rg,,2,AFNMDW4431VZB_CUBE@None;AFNPHX4431VZB_CUBE@None
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQL2UwNTYzM2E3LTE3YWEtNDA3OC1iNTIzLTM2YjhhM2RmMzRmOQ,MDW_Pref_rg,,2,AFNMDW4431VZB_CUBE@None;AFNPHX4431VZB_CUBE@None
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQL2EzNzUzZDMyLTJhZjQtNGMzMC05ZDJhLWNjNGUyNWZiNmJjNA,PHI_rg,,1,AFNOFCVCUBE1@None
Y2lzY29zcGFyazovL3VzL1JPVVRFX0dST1VQLzc1YTE2MTUxLWU5YjYtNDY5Zi1iOGYxLTZjYjU1MzIyOTM4Yw,PHX_Pref_rg,,2,AFNMDW4431VZB_CUBE@None;AFNPHX4431VZB_CUBE@None
